feature_430,feature_355,feature_467,feature_933,feature_283,feature_531,feature_592,feature_85,feature_624,feature_868,feature_24,feature_607,feature_399,feature_826,feature_1,feature_858,feature_2,feature_158,feature_415,class
2.1724911,-0.48483044,-0.54789215,-0.65586901,0.40478757,6.5175571,1.2107497,0.024317693,1.6819654,-1.278339,-1.550638,4.7430892,2.353765,-1.3817351,-3.2872126,0.60082978,0.74432099,0.68195796,-1.671823,FML
1.7716055,-0.39346474,-0.30208519,-0.7015878,0.37835187,6.2561603,1.2113867,-0.23691693,2.0037186,-1.0473667,-1.4104966,4.1882586,2.2014742,-1.0137873,-3.1732514,0.48999542,0.67728448,0.398269,-1.7465476,FML
1.8204261,-0.4292759,-0.6635918,-0.67821461,0.41598111,6.2558236,1.2816935,0.17164382,1.9073771,-1.4162142,-1.4883986,4.4646163,2.2585247,-1.1771654,-3.2520053,0.42998978,0.89095485,0.56629837,-1.8200186,FML
2.0282457,-0.48729438,-0.61590713,-0.60724789,0.41411009,6.3889408,1.9490752,-0.36519164,1.947662,-0.98908639,-1.5019863,4.4199862,2.3412554,-1.0244334,-3.0185947,0.54881674,0.88547367,0.43781477,-1.894371,FML
1.9102805,-0.56643069,-0.53640825,-0.66827518,0.42949167,5.9963064,0.85481852,-0.043357003,1.628859,-1.2247838,-1.563185,4.3851724,2.1120446,-1.4079783,-2.9041686,0.35743439,0.92877448,0.77885675,-1.7985741,FML
1.8262033,-0.34630153,-0.58203655,-0.79824704,0.40519041,6.3029943,0.7847712,-0.026052225,1.6040245,-1.3069503,-1.5268033,4.4328828,2.4055817,-1.2672496,-3.0937641,0.72854775,0.6785323,0.48791894,-1.9074371,FML
2.1076126,-0.69604111,-0.61574984,-0.83232987,0.63126421,5.8884177,1.1850044,0.1934634,1.6179924,-1.2015381,-1.8536327,4.8879766,2.3304307,-1.5054588,-2.8200366,0.34726176,1.1383116,0.93265456,-1.7391657,FML
1.9066308,-0.52275324,-0.58560228,-0.69916093,0.47846961,6.0698051,0.70966232,0.08417695,1.6346813,-1.2854247,-1.4457523,4.7824697,2.4079137,-1.4055586,-2.9983027,0.31108698,1.0237824,0.60728425,-2.0105793,FML
2.1136181,-0.70577371,-0.48648033,-0.57041073,0.42541483,6.2234306,1.2532396,0.028876361,1.8365321,-1.3331827,-1.6548562,4.6862121,2.4736924,-1.3906559,-2.9526455,0.45707068,0.85433656,0.62136197,-2.0501146,FML
1.8905457,-0.36048967,-0.5840975,-0.6855073,0.40069523,6.3630352,2.075613,0.29139,2.0710673,-1.1138265,-1.7287955,4.4555297,2.2668557,-1.2456459,-3.0198505,0.38716084,0.80818152,0.44522211,-1.8510309,FML
2.3108389,-0.65394592,-0.4101375,-0.35427842,0.34600794,6.3966255,1.6567352,-0.43811867,1.7931057,-1.1292809,-1.4505777,4.802712,2.4695549,-1.3330549,-3.140873,0.19521654,0.78502303,0.74459803,-1.487124,FML
2.3147924,-0.72719049,-0.32125792,-0.63876569,0.54917353,6.0933013,0.86326402,-0.23032098,1.9243727,-1.2780583,-1.459134,4.7954369,2.2835145,-1.4190652,-3.0746651,0.47563428,0.8802318,0.70307654,-1.8419445,FML
2.1537406,-0.56513172,-0.29469511,-0.69485265,0.38549092,6.2746973,1.4436313,-0.61962271,1.9434105,-1.1749873,-1.6832621,4.6027303,2.2159448,-1.2297047,-3.0921555,0.69158667,0.75166148,0.64706433,-1.7099876,FML
2.2891583,-1.0820247,-0.21077096,-0.43773946,0.50130129,6.1095843,3.1183531,-0.23384598,2.2187779,-0.68477559,-2.1219926,4.9859905,2.8609991,-1.2867219,-2.6035588,0.49042809,1.1395484,1.1931058,-0.85671508,GOOD
1.8122556,-0.93150902,0.0337306,-0.17691705,0.3671785,6.3218322,3.3231339,-0.045758713,1.7706684,-0.45954183,-1.6502755,5.067596,2.7988911,-1.1057175,-2.9459794,0.61555606,1.0031853,0.79744196,-1.2221358,GOOD
2.3982112,-1.3748894,-0.23818548,-0.47657171,0.59613049,6.0372128,3.0586073,0.23177417,2.103282,-0.71204621,-2.0673866,4.8744292,2.641192,-1.1745391,-2.9263701,0.25719121,1.0769081,0.97230566,-1.1050025,GOOD
2.1725259,-1.279655,-0.22475836,-0.28944579,0.19377844,6.4651814,3.156651,-0.25709006,2.1611359,-0.007868407,-1.6667963,4.6372018,2.7867315,-1.0140038,-2.695122,0.54793411,0.97848558,0.70529342,-1.1101536,GOOD
2.0528038,-0.96706122,0.11894281,-0.18278354,0.081806488,6.4768715,2.7165728,-0.32350051,1.8931956,-0.32553676,-1.4688023,4.290256,2.6345017,-0.85377735,-2.9094279,0.80077499,0.67851442,0.53363037,-1.074036,GOOD
2.0208178,-0.95702815,0.23395938,-0.37822896,0.093871184,6.4311523,2.7779179,-0.50049841,2.1627355,-0.3053436,-1.5114217,4.5439682,2.760396,-0.99945265,-2.8410683,0.54911321,0.85134786,0.6617282,-1.2091677,GOOD
1.6893392,-0.76714021,0.1375919,-0.050178628,0.062864743,6.5176072,2.3090723,-0.36336768,1.7893804,-0.28612617,-1.3024619,4.3106112,2.4576738,-0.90470552,-2.9437325,1.1181029,0.69997537,0.72979242,-1.1524587,GOOD
2.0210242,-1.004899,-0.089951247,-0.2554017,0.25137174,6.3239179,1.9625157,-0.15578727,1.8950659,-0.39532229,-1.264892,4.6236987,2.4846711,-1.1081482,-2.7725713,0.95753396,0.85483807,0.70240378,-1.3540397,GOOD
1.8678361,-0.99097836,0.36048254,-0.35392478,0.018459395,6.816812,2.9027269,-0.46133015,2.0333264,-0.26015618,-1.4238896,4.5446129,2.814784,-0.69847757,-3.1386387,0.90215254,0.68278861,0.51965445,-1.2934083,GOOD
2.0485036,-1.093336,-0.016715225,-0.29535124,0.23726672,6.2996764,2.6316793,-0.27883047,1.9967183,-0.33153984,-1.5043701,4.6470532,2.6019318,-1.0532991,-2.9335814,0.81180018,0.7302351,0.67845529,-1.0266834,GOOD
2.0940948,-0.97713888,-0.49930039,-0.56983316,0.1873302,6.1395612,3.253798,-0.12824285,1.9747062,-0.67116767,-1.9170278,4.653173,2.5753567,-1.1483148,-2.5843496,0.62478715,0.98219997,1.0146203,-1.0608046,GOOD
1.9672108,-1.0448807,-0.068016127,-0.21449709,0.25188214,6.3243976,3.0158906,-0.27007079,2.1279743,-0.34560287,-1.699252,4.5836234,2.6865025,-1.0277349,-2.7618222,0.91012686,0.8053273,0.85265183,-1.258454,GOOD
2.1054606,-1.4204676,0.062585741,-0.11610834,0.52944702,6.0121427,3.817946,-0.29374778,1.9844038,-0.16041249,-1.8086215,4.7628794,2.6745656,-0.82594323,-2.8971832,0.68664092,1.044459,0.85116446,-0.85545737,GOOD
2.2792861,-1.3362017,-0.11001548,-0.22734228,0.24434935,6.3490276,3.1934054,-0.34781784,1.8064092,-0.3012982,-1.6187422,4.6840291,2.8586593,-0.95423931,-2.8050182,0.82615739,1.1092395,0.92825347,-1.0527896,GOOD
2.0342665,-1.0164696,-0.10643291,-0.069495812,0.353948,6.1686797,2.5420709,0.003867682,1.8049659,-0.63790202,-1.3329052,4.8324785,2.5446546,-1.1384964,-2.6577048,0.41637832,1.0179434,0.70814514,-1.3575842,GOOD
1.6888086,-1.1952429,-0.07126826,-0.26122585,0.53726912,6.2843266,1.9617531,-0.59329545,1.9041809,-0.57529378,-1.2936822,4.5157819,2.6825018,-1.2903668,-2.7490745,0.81257421,1.0634838,0.6582256,-1.2798079,GOOD
1.7671878,-1.0988683,0.074118897,-0.18037762,0.2985585,6.3512564,2.3208139,-0.37345114,1.9284586,-0.46307835,-0.90924573,4.6627378,2.6850553,-1.1128309,-2.6751764,0.62160325,0.84773844,0.47465378,-1.2260113,GOOD
2.3248403,-1.0142328,0.12896045,-0.34816039,0.26985112,6.7848868,2.5787621,-0.66917533,2.1655562,-0.065359674,-1.61307,4.7743378,2.7354729,-1.2183375,-2.7432244,0.51927716,0.86077124,0.77619278,-1.2501588,GOOD
1.8208714,-0.80795676,0.045812909,-0.12471165,0.48726586,6.6345797,2.3454924,-0.65431726,2.1078968,-0.4798592,-1.2324457,4.4873352,2.5102079,-1.0998356,-2.8079131,0.74195367,0.78313011,0.65089363,-1.3761698,GOOD
2.1205933,-1.346503,-0.16447835,-0.36695039,0.38871014,6.0690846,3.3776824,-0.2933346,1.749764,-0.29366383,-1.734676,4.848031,2.7955253,-0.91115254,-2.81865,0.85600257,0.92359966,0.91776633,-1.1062927,GOOD
1.6630967,-0.92596841,-0.12466519,-0.13822326,0.25683609,6.4154634,2.8147168,-0.41589782,1.9785513,-0.49410671,-1.299989,4.5217152,2.6678507,-1.0945685,-2.87045,0.65441591,0.85214812,0.57264388,-1.3339163,GOOD
1.7274066,-0.81462556,-0.28405929,-0.17493866,0.32117853,6.3521962,2.4940481,-0.02923939,1.9711652,-0.32699361,-1.3069904,4.5143213,2.4202952,-1.1456158,-2.5968428,0.59526855,0.8335622,0.68690747,-1.4000328,GOOD
1.9804413,-1.013805,-0.29432091,-0.25940973,0.71703029,6.1268091,2.068877,-0.18154842,2.081861,-0.5345549,-1.6579852,4.7887497,2.5057769,-1.2648991,-2.4567478,0.38459191,1.1380261,0.95925134,-1.5283096,GOOD
2.1843984,-1.0601388,-0.29030317,-0.51530719,0.26568198,6.4104009,2.3018072,0.24756855,2.0328045,-0.62016571,-1.6351752,4.3420825,2.5639193,-0.90347546,-2.888124,0.73350203,1.1345989,0.89457899,-1.3449309,GOOD
2.0533559,-0.94331378,0.011215497,-0.28659755,0.33173046,6.2985954,2.9420183,-0.43960664,1.9913038,-0.46410871,-1.7729456,4.6040702,2.74385,-1.1643627,-2.7326241,0.72068059,0.86343938,0.94093996,-1.1364143,GOOD
2.0496774,-1.1644369,-0.16971895,-0.32876158,0.40366179,6.0832,2.7555759,0.2172429,1.8352832,-0.47956312,-1.7468148,4.6032577,2.6788199,-1.2050838,-2.6567712,0.37018776,0.99557436,1.0318685,-1.3331646,GOOD
1.6002264,-0.79996699,0.19821624,-0.1243709,0.22750671,6.4622045,2.4963796,-0.072889425,2.0524685,-0.34072682,-1.3742135,4.604938,2.7511163,-1.0653176,-2.9881723,0.70770729,0.83732796,0.70209986,-1.3748742,GOOD
2.2892058,-1.2869172,-0.44104201,-0.31725681,0.6261071,6.094532,2.7769721,-0.11031841,1.6457908,-0.42756101,-1.5087306,4.8195267,2.7752767,-1.1370542,-2.6095436,0.64665884,1.0678351,0.92920369,-1.3522935,GOOD
1.9313658,-0.95451701,-0.25563928,-0.30159917,0.29173705,6.4974041,2.5803728,-0.07701575,2.0672865,-0.53929472,-1.4287083,4.5827684,2.4416883,-0.9691034,-2.7219,0.61939079,0.91205376,0.79004085,-1.3575226,GOOD
