feature_929,feature_648,feature_533,feature_374,feature_146,feature_162,feature_292,feature_2,feature_125,feature_105,feature_36,feature_239,feature_684,feature_771,feature_3,feature_361,feature_505,feature_905,feature_385,feature_395,feature_822,feature_119,feature_52,feature_100,feature_71,feature_382,feature_164,feature_579,feature_195,feature_59,feature_857,class
-2.14112,0.018812746,0.01383996,-0.73855197,-2.2356935,-1.569087,-0.85429406,0.46573681,-3.0144112,-1.7465675,-3.9380367,-1.7881379,1.5915136,-1.8832874,-1.3816882,-1.5455645,0.4848505,4.5463438,-2.0599799,-3.8226237,-0.72153556,-2.9684486,-2.3106289,-1.6021942,-1.504927,-2.7727571,-0.65669286,2.6142297,-1.3778851,-1.5847681,-0.63786936,FML
-2.3459642,-0.20709927,-0.13706195,-0.84044755,-2.1840851,-1.7975168,-0.96123815,0.16706575,-3.1943328,-1.6056882,-3.8448727,-1.9429886,1.7349446,-1.8954546,-1.4656893,-1.6795149,0.44395161,4.7240891,-1.9948206,-3.6533389,-0.70267379,-3.086813,-2.0999682,-1.4922512,-1.5397663,-2.8475428,-0.9666456,2.1680937,-1.0660286,-1.5191727,-0.62919778,FML
-2.2727654,0.070621371,0.035875201,-0.85469031,-1.8861253,-1.7650325,-0.83325928,0.19588302,-3.4599397,-2.0154426,-3.9790857,-1.6331856,1.8839853,-2.115684,-1.3350298,-1.464784,0.88584661,4.5201354,-2.1088581,-4.2151709,-0.7370739,-3.2397559,-2.3052735,-1.2588576,-1.6448493,-2.8797007,-0.9891026,2.5136285,-1.4656999,-1.7576523,-0.54566216,FML
-2.5536249,-0.13466454,0.033244669,-1.1497508,-2.1077039,-1.6519198,-1.0174156,0.46263945,-2.9091935,-1.7038826,-3.6112974,-1.9282212,1.595184,-1.7969097,-1.2609925,-1.6705331,0.60893548,5.0179844,-2.0942707,-3.5472891,-0.78282607,-3.185843,-2.2066913,-1.5808303,-1.2358394,-2.9619038,-0.96523249,2.5659633,-1.2851334,-1.3344629,-0.81236947,FML
-2.2374327,0.23731586,-0.46976554,-0.61358517,-2.3323488,-1.3749909,-0.88473701,0.3250826,-2.9052007,-1.7626857,-3.9921935,-1.8965669,1.3851795,-1.7936325,-1.3228064,-1.8852488,0.62422925,4.7856259,-2.3419414,-3.5610967,-0.8090111,-2.943507,-2.5997851,-1.9418244,-1.6608747,-3.0998032,-0.72732663,3.1659954,-1.3065556,-1.6620522,-0.58955604,FML
-2.19754,0.0955486,-0.3842473,-0.68144625,-2.2825518,-1.3230443,-1.037179,0.45281377,-2.7366228,-1.4938449,-3.8168688,-1.918843,1.3277218,-1.5488687,-1.2899789,-1.8061025,0.51900452,4.8692007,-2.2166543,-3.283118,-0.77766895,-2.8411918,-2.4239051,-2.023334,-1.4986385,-2.981472,-0.54090512,3.2451944,-1.1787018,-1.4384508,-0.68155658,FML
-2.453335,-0.21693109,-0.33438492,-1.0064764,-2.1379654,-1.6281984,-1.0802798,0.40845093,-2.9143765,-1.6758718,-3.7324226,-1.8901045,1.5049496,-1.5825541,-1.2383957,-1.7387328,0.48884156,4.710525,-2.1408472,-3.4953399,-0.91203332,-3.1229444,-2.3373902,-1.6921954,-1.6161038,-3.0607524,-0.97724438,2.6499426,-1.1910282,-1.3089256,-0.59028739,FML
-2.3527434,-0.15453127,-0.35156924,-0.77896011,-2.2068267,-1.8224339,-1.2091694,0.3490679,-2.9489174,-1.7353659,-3.7376599,-2.0883858,1.657726,-1.8959744,-1.5127941,-1.7633551,0.58207738,4.5543137,-2.0486445,-3.4799259,-0.62568802,-3.2079432,-2.357985,-1.7908688,-1.3909394,-2.899884,-1.1048813,2.4338136,-0.98169172,-1.4529412,-0.61681497,FML
-2.4408126,-0.15531078,-0.14817876,-0.92598653,-2.0983293,-1.4689484,-1.029238,0.27355841,-3.1035333,-1.6917648,-3.8249919,-1.9591129,1.6941227,-1.9684516,-1.4362305,-1.743534,0.4761529,4.7967367,-2.0148172,-3.5752199,-0.75504905,-3.160876,-2.45539,-1.6956573,-1.5874161,-2.9192312,-1.0500119,2.2417428,-1.2197306,-1.5005896,-0.54866588,FML
-2.2704442,0.033842772,-0.34681761,-0.86126721,-2.2238364,-1.5091648,-0.95211148,0.49665356,-2.7926109,-1.5766376,-3.9130459,-2.0207496,1.395014,-1.7175816,-1.2829413,-1.7945648,0.53118271,4.8352065,-2.1657634,-3.5033774,-0.82048452,-3.052284,-2.3124552,-1.6723933,-1.3866721,-3.0184138,-0.81513709,2.8026192,-1.3358424,-1.4370098,-0.69906735,FML
